well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB76,,
A3,1,BB77,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB76,,
A7,1,BB77,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB76,,
A11,1,BB77,,
A12,1,blank,,
B1,1,BB78,,
B2,1,BB79,,
B3,1,BB84,,
B4,1,BB91,,
B5,1,BB78,,
B6,1,BB79,,
B7,1,BB84,,
B8,1,BB91,,
B9,1,BB78,,
B10,1,BB79,,
B11,1,BB84,,
B12,1,BB91,,
C1,1,BB92,,
C2,1,BB93,,
C3,1,BB94,,
C4,1,BB95,,
C5,1,BB92,,
C6,1,BB93,,
C7,1,BB94,,
C8,1,BB95,,
C9,1,BB92,,
C10,1,BB93,,
C11,1,BB94,,
C12,1,BB95,,
D1,1,BB96,,
D2,1,BB97,,
D3,1,BB98,,
D4,1,BB99,,
D5,1,BB96,,
D6,1,BB97,,
D7,1,BB98,,
D8,1,BB99,,
D9,1,BB96,,
D10,1,BB97,,
D11,1,BB98,,
D12,1,BB99,,
E1,1,BB100,,
E2,1,BB101,,
E3,1,BB102,,
E4,1,JEB1204,,
E5,1,BB100,,
E6,1,BB101,,
E7,1,BB102,,
E8,1,JEB1204,,
E9,1,BB100,,
E10,1,BB101,,
E11,1,BB102,,
E12,1,JEB1204,,
F1,1,BB103,,
F2,1,BB104,,
F3,1,BB115,,
F4,1,JEB1205,,
F5,1,BB103,,
F6,1,BB104,,
F7,1,BB115,,
F8,1,JEB1205,,
F9,1,BB103,,
F10,1,BB104,,
F11,1,BB115,,
F12,1,JEB1205,,
G1,1,BB116,,
G2,1,BB125,,
G3,1,BB150,,
G4,0,JEB1206,,High burden control strain clearly wrong
G5,1,BB116,,
G6,1,BB125,,
G7,1,BB150,,
G8,0,JEB1206,,High burden control strain clearly wrong
G9,1,BB116,,
G10,1,BB125,,
G11,1,BB150,,
G12,0,JEB1206,,High burden control strain clearly wrong
H1,1,blank,,
H2,1,JEB1207,,
H3,1,JEB1208,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1207,,
H7,1,JEB1208,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1207,,
H11,1,JEB1208,,
H12,1,blank,,